logFC	logCPM	PValue	FDR
YML018C	-2.31424287427188	7.6713992706354	2.4860706278453e-13	9.23349990234624e-12
YPR010C-A	2.42866030602862	7.21213875648539	2.75937540865417e-13	1.01802556743281e-11
YDR009W	4.04230252544802	4.47389409374528	2.82661364756902e-13	1.03592582289053e-11
YPL113C	3.35616806563052	4.77961149964637	3.010317972997e-13	1.09599339885299e-11
YNL036W	3.57030019169136	9.23992411291784	3.77075142710254e-13	1.36387832663957e-11
YPR002W	2.925608870472	6.58990465108092	3.83984440815621e-13	1.37985058147639e-11
YBL015W	3.8724647175508	9.37504193328478	4.35887080365883e-13	1.5562574856418e-11
YKR016W	2.43355459000074	7.18834457452769	4.79807169600327e-13	1.69412354048154e-11
YGL125W	-3.13647550979823	7.45385663222389	4.80624134180704e-13	1.69412354048154e-11
YFR017C	3.59413019512586	5.53363225931906	5.10043873945561e-13	1.78644480912325e-11
YLR179C	-2.73906144312708	8.94942013411215	5.31513398730139e-13	1.84993405570603e-11
YAL038W	-2.58231545180747	13.2565517690305	5.47584733664263e-13	1.89395869756127e-11
YER081W	-2.45728891682363	6.64294708700408	6.11049072084227e-13	2.1003388601951e-11
YKL066W	2.30075092728795	6.47242201820131	6.59378273444198e-13	2.25246874397543e-11
YBR067C	4.28236566029754	10.419994738041	7.93834513041392e-13	2.69514122403133e-11
YIL053W	-2.75391694188388	8.84110292623558	1.01497036866846e-12	3.4249061098849e-11
YPL134C	3.24174288975041	8.57365686649971	1.15565845915920e-12	3.87600843211336e-11
YGR256W	4.10448062792416	5.21859212356259	1.26100835547295e-12	4.20386761396825e-11
YBR291C	-2.45056068339558	6.97053957524749	1.43659025233381e-12	4.7605332074343e-11
YJL060W	-2.35482263748512	8.60651679128091	1.57444102215568e-12	5.17918058539587e-11
YHR216W	-3.09239756056318	5.94798891320019	1.58164351089971e-12	5.17918058539587e-11
YIR034C	-3.25249063869496	9.12399353089239	1.70576624042846e-12	5.5527708085477e-11
YPR035W	-2.96549562066588	10.7312140618548	2.15919068496147e-12	6.98769663776419e-11
YER015W	2.72658986739776	7.31152498371922	2.19959138337651e-12	7.07705739279396e-11
YJR016C	-2.31956519278482	9.88863296993605	2.28276491048403e-12	7.30220867897031e-11
YMR189W	-2.70236380846801	9.53721473499522	3.10240742037124e-12	9.8670819909968e-11
YDR502C	-2.61210305694626	9.4603345497127	3.44794275916388e-12	1.09033801309788e-10
YMR173W-A	-2.52350124130564	6.9256262639265	4.16145501497858e-12	1.30849386664156e-10
YDR399W	-2.45103852477065	7.63402046576807	4.22834589558536e-12	1.32201503876663e-10
YNL009W	2.9780769004028	5.32805301981344	4.34433819562554e-12	1.34389191011439e-10
YIR028W	-4.81818164618739	4.00136711960719	4.34688565071335e-12	1.34389191011439e-10
YEL063C	-2.41408552609725	9.13622252673888	4.40742176743359e-12	1.35503733672097e-10
YGR204W	-2.34975335036115	9.90025539277179	4.61464933309303e-12	1.41090991211806e-10
YOR047C	-3.37815031127849	4.47973693692271	4.77693689684814e-12	1.45250377951415e-10
YLR038C	2.22634024458078	7.52682245849018	5.47532606191034e-12	1.65576253697332e-10
YHR174W	-2.40146794683147	12.7317557454476	6.26900483538137e-12	1.88547134559785e-10
YKR097W	9.53015380463907	10.0287857142085	1.01905175368759e-11	3.04834184049034e-10
YGR060W	-2.39583047768947	9.72952430472128	1.14810451027344e-11	3.41591954830818e-10
YJL103C	2.26137919415982	5.85658372059785	1.46083922052086e-11	4.31042953953257e-10
