logFC	logCPM	PValue	FDR
YAR015W	-1.87356171939285	7.29630085854281	1.77007781417194e-22	7.09826856784604e-21
YML056C	1.78247885940657	9.9609456399437	1.94931273773098e-22	7.76078898604551e-21
YGR138C	-2.70030872184746	3.91936917268113	2.75755079854381e-22	1.09002043708153e-20
YOR128C	-1.7619904809039	7.7122129475044	4.6154058139238e-22	1.81146494852867e-20
YAL061W	-2.33479821530143	5.35511025634169	4.82286177431013e-22	1.87955753936847e-20
YOL155C	-2.44410767035097	10.8653964878034	5.1806026119222e-22	2.0048569828236e-20
YLR285C-A	-2.9965577081649	3.67453077547649	5.85072576528622e-22	2.24846641563152e-20
YHL016C	-1.91093200300188	4.93846563596735	1.94073442904886e-21	7.40691333128027e-20
YDR158W	-1.38531959001032	10.0426811959252	2.22397761119188e-21	8.42978910981908e-20
YFL030W	-2.41889397925553	4.72949422880224	2.38830829945292e-21	8.99108716270234e-20
YLR299W	-1.4069018731138	6.49725720778578	2.94574418409978e-21	1.10146948073028e-19
YDR253C	-3.2827750909582	2.90483276977772	2.99110318665353e-21	1.11092382784837e-19
YJL200C	-1.63917008015549	8.37739637922208	7.44260437666644e-21	2.74582484136481e-19
YDL171C	-1.23994591287006	9.3532885641278	8.52029129122676e-21	3.1226021195794e-19
YDR019C	-2.20853807224188	6.93621714444911	1.04739944137419e-20	3.81336086089786e-19
YEL060C	-1.58374979763663	7.03540164182842	1.06874527111036e-20	3.86564466034296e-19
YLR438W	2.77486794561587	6.77965959857785	1.62006639255249e-20	5.82171910154902e-19
YDR533C	-2.4215698914222	6.65138265833694	2.34721702003063e-20	8.38032192829002e-19
YLR152C	-1.52649154218699	5.87660944409711	2.39229208602417e-20	8.48650282311393e-19
YMR008C	-1.78949258206721	6.76791089421785	2.69607123499341e-20	9.50322179264556e-19
YEL073C	-4.38979066682854	2.14443431314198	1.0956655098625e-19	3.83760312125257e-18
YJL130C	-1.23400721802991	9.8888506920497	1.20699329721982e-19	4.20094396654998e-18
YBR067C	2.5719543426469	9.0807980647532	1.35519329232348e-19	4.68727479982385e-18
YJR153W	3.6142617685589	3.55841546222211	2.08051231998881e-19	7.15127650858266e-18
YMR300C	-1.58568152588007	7.5543078192387	2.18990602968392e-19	7.48082714090792e-18
YDR144C	1.51627888185916	7.76695829502879	2.99615273689917e-19	1.01722142613497e-17
YHR140W	-2.42006435108862	4.19908254548416	4.17959055489271e-19	1.41035695919367e-17
YHL028W	-1.65640239148135	5.94199651778082	4.74321591280893e-19	1.59084587039301e-17
YJR070C	1.44569904748347	8.35693007182283	5.34956466829761e-19	1.78340306472042e-17
YJR016C	-1.1611335606885	9.71488608992167	6.2880291163277e-19	2.08370976824895e-17
YLR364W	-1.94545239425589	4.07305702215814	6.55802020473985e-19	2.16024308410895e-17
YLL041C	-1.40001944012175	6.94365320425416	9.48624231279403e-19	3.10632337035516e-17
YIL011W	3.16977175315491	6.65278465337471	1.82752306114429e-18	5.94912507080735e-17
YDL170W	-2.26469649529504	5.76702162208571	1.88020297923788e-18	6.08482063573243e-17
YGR079W	2.09251936746636	5.94952673490906	2.00452333948792e-18	6.44943730274777e-17
YHR208W	-1.54805908194599	9.0146119016464	2.21967533067884e-18	7.10039495952412e-17
YOR313C	-1.99885915161855	4.58314566415669	2.38001640529236e-18	7.56954642924592e-17
YBR183W	-1.94823251002039	5.1361907356167	3.84165804733701e-18	1.21484203622646e-16
YLL024C	1.27780879200867	10.1437539956645	4.03687855607726e-18	1.26932306416657e-16
YPR004C	-1.34889361157752	7.50010361370777	4.22765016503822e-18	1.32179751487692e-16
YDL059C	-2.42026491608796	4.29024344253479	4.44459147713491e-18	1.3783733381571e-16
YGR254W	-1.55953451335345	9.44668860368818	4.45841755565813e-18	1.3783733381571e-16
YIL088C	-1.58810425794954	8.23043161222727	4.86593243689622e-18	1.49600389476576e-16
