GeneID,Normal,Normal,Normal,Normal,Normal,Normal,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor,Tumor
ENSG00000111344,0,0,0,0,3,8,0,0,10,3,19,15,0,4,38,6,13,10
XLOC_096617,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,2,0
ENSG00000140987,0,1,14,8,4,8,0,0,12,5,7,20,2,19,14,4,4,16
XLOC_088073,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,613,1
ENSG00000143924,189,495,363,644,490,1259,331,396,611,575,1061,2971,228,448,1253,423,1241,1778
ENSG00000075711,351,848,1356,927,1816,2000,703,677,1043,683,1352,2197,396,798,1619,540,1514,2202
XLOC_111010,24,73,47,142,49,214,52,66,104,117,218,269,37,49,109,47,203,117
ENSG00000132591,25,1,1,4,6,10,27,1,4,7,3,3,3,11,28,6,4,20
ENSG00000111046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000144476,6,32,30,18,12,76,7,36,54,34,20,51,2,4,60,23,10,48
XLOC_028214,267,27,214,18,41,2,32,41,11,18,25,1,6,1,2,5,1,0
ENSG00000156642,166,202,330,208,312,404,184,219,121,101,249,532,96,107,214,84,257,407
ENSG00000090659,134,8,67,227,27,152,248,5,64,110,72,712,109,27,131,290,86,269
ENSG00000282692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167524,40,14,66,99,112,115,68,92,116,60,148,144,16,86,151,77,182,179
ENSG00000250993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_012096,136,10,36,51,100,131,42,99,31,25,33,64,62,16,40,27,71,72
XLOC_137393,7,6,31,16,1,6,12,13,2,4,2,1,0,3,4,1,5,6
XLOC_096665,132,498,305,214,315,698,185,688,168,150,258,866,172,204,184,70,400,575
ENSG00000043355,0,0,4,0,0,0,0,0,2,0,18,15,0,0,9,0,10,32
ENSG00000235631,6,46,45,34,10,65,20,22,94,100,41,49,27,28,156,41,17,2
XLOC_060695,198,303,538,651,707,1089,189,488,251,324,387,763,85,150,246,289,970,573
ENSG00000198692,0,0,0,0,0,142,0,0,0,0,0,136,0,0,0,0,0,79
ENSG00000005889,195,339,636,560,668,802,409,411,614,422,730,873,252,429,1038,273,780,786
ENSG00000274226,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0
ENSG00000128482,0,7,13,7,11,9,3,0,0,2,0,1,0,1,5,0,0,0
ENSG00000122679,52,84,81,35,190,249,7,68,11,5,18,79,6,14,9,3,8,11
ENSG00000259865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168685,900,1660,4071,986,5452,3086,284,457,1553,355,1470,2542,228,537,2517,185,3388,2893
XLOC_159107,84,207,1,308,6,3,7,2,3,8,10,1,5,133,3,5,5,5
XLOC_004298,2,4,1,0,0,15,0,66,5,0,0,1,2,0,9,2,0,2
XLOC_165255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174943,62,7,22,136,45,92,36,26,77,122,66,92,25,75,115,32,68,136
XLOC_075509,3,2,39,51,52,56,7,0,39,37,36,41,2,7,36,27,50,69
XLOC_055975,2,0,3,54,51,64,3,0,0,11,10,7,12,6,1,2,59,10
ENSG00000174946,0,2,4,29,16,31,1,6,15,15,25,11,2,0,35,8,41,36
ENSG00000137251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLOC_143899,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
ENSG00000112406,82,156,449,150,841,577,96,197,254,65,273,435,66,40,466,46,463,474
XLOC_102582,4,5,35,6,22,55,8,46,15,15,21,21,4,6,7,1,16,28
XLOC_161270,5,19,25,1,11,18,10,20,11,3,87,57,7,19,29,17,37,63
